MNTS|29.0|1.2|23.1|75.7|2.6
NA|2800.0|1.0|15.0|84.0|2.1
SMAR|||||
CO|192500.0|21.5|29.0|49.5|19.5
PR|88000.0|1.0|45.0|54.0|6.5
KN|220.0|6.2|35.7|58.1|-0.9
WL|640.0|13.8|17.4|68.8|0.8
SPMI|68.0||||
WV|240.0|24.0|33.1|42.9|-0.2
TT|16200.0|4.8|44.5|50.7|5.4
TUCA|216.0||||4.0
VIRG|1200.0||||
AMSA|462.2||||
AUS|405400.0|3.1|27.7|69.2|4.75
COOK|183.2|15.1|9.6|75.3|2.1
FJI|4700.0|22.0|17.0|61.0|2.0
FPOL|6100.0|3.5|20.4|76.1|1.1
GUAM|2500.0||||2.5
KIR|68.0||||5.5
MH|94.0||||4.0
FSM|205.0||||4.0
NAU|100.0||||-3.6
NCA|3158.0|15.0|8.8|76.2|1.4
NZ|62300.0|7.3|25.9|66.8|2.0
NIUE|10.01|23.5|26.9|49.5|4.0
NORF|||||
NMIS|633.4||||-0.8
PAL|81.8||||
PITC|||||
SLB|1000.0||||13.0
TO|228.0|40.0|||3.0
TUV|7.8||||2.9
VU|210.0||||7.0
WAFU|60.0||||
WS|415.0|50.0|||18.0
RA|278500.0|6.0|31.0|63.0|1.7
BOL|20000.0||||12.0
BR|976800.0|16.0|25.0|59.0|23.0
RCH|113200.0|7.4|36.4|56.2|8.1
PY|17000.0|25.7|25.8|48.5|10.5
ROU|24400.0|10.5|27.5|62.0|35.4
PE|87000.0||||10.2
FGU|800.0||||2.5
GUY|1600.0|26.5|27.8|45.7|8.1
SME|1300.0|21.6|23.7|54.7|62.0
YV|195500.0|5.0|41.0|54.0|57.0
EC|44600.0|13.0|39.0|48.0|25.0
FALK|105.1||||
DZ|108700.0|12.0|50.0|38.0|28.0
LAR|32900.0||||25.0
RMM|5400.0|42.4|15.4|42.2|8.0
RIM|2800.0|27.1|29.5|43.4|3.5
MA|87400.0|14.3|32.2|53.5|5.4
RN|5500.0|38.5|17.9|43.6|35.6
TN|37100.0|15.0|30.0|55.0|5.5
WSA|||||
ANG|7400.0|12.0|56.0|32.0|20.0
RCB|7700.0|11.4|35.2|53.4|61.0
NAM|5800.0||||11.0
ZRE|16500.0||||12.0
Z|8900.0|32.0|22.0|46.0|55.0
BEN|7600.0|36.8|12.6|50.6|55.0
BF|7400.0|32.0|24.0|44.0|5.0
WAN|135900.0|38.0|22.0|40.0|57.0
RT|4100.0|49.2|17.7|33.1|8.8
RB|4500.0|5.0|||10.0
RSA|215000.0||||8.7
ZW|18100.0|18.3|35.3|46.4|25.8
CI|21900.0|37.0|24.0|39.0|10.0
GH|25100.0|47.0|16.0|37.0|69.0
BI|4000.0|54.1|16.8|29.1|10.0
RWA|3800.0|52.0|13.0|35.0|64.0
EAT|23100.0|58.0|8.0|34.0|25.0
CAM|16500.0|29.0|24.0|47.0|48.0
RCA|2500.0|50.0|14.0|36.0|45.0
TCH|3300.0|49.0|17.0|34.0|41.0
GQ|325.0|47.0|26.0|27.0|41.0
G|6000.0|8.2|44.7|47.1|15.0
CV|440.0|13.0|17.0|70.0|5.0
SUD|25000.0|33.0|17.0|50.0|66.0
COM|370.0||||15.0
RG|6500.0|24.0|31.0|45.0|4.1
LB|2300.0||||50.0
DJI|500.0|3.0|21.0|76.0|6.0
ER|2000.0||||10.0
ETH|24200.0|48.0|15.0|37.0|10.0
SP|3600.0||||
EAK|36800.0|27.0|19.0|54.0|1.7
WAG|1100.0|27.0|15.0|58.0|1.7
SN|14500.0||||6.1
GNB|1000.0|44.0|8.0|48.0|15.0
WAL|4400.0|40.0|17.0|43.0|24.0
EAU|16800.0|55.0|12.0|33.0|6.1
LS|2800.0|10.4|48.8|40.8|9.5
RM|11400.0|35.0|15.0|50.0|35.0
MW|6900.0|31.0|14.0|55.0|83.3
MOC|12200.0|33.0|12.0|55.0|50.0
MS|10900.0||||9.4
MAYO|953.6||||
SD|3600.0|25.0|40.0|35.0|14.7
REUN|2900.0||||
HELX|18.0||||
STP|138.0|28.0|14.0|58.0|38.0
SY|430.0||||3.9
